iter	Passed	Remaining
0	1	1172
1	2	1412
2	4	1488
3	6	1533
4	8	1617
5	10	1739
6	12	1707
7	13	1675
8	15	1657
9	16	1655
10	18	1657
11	20	1701
12	22	1737
13	24	1725
14	25	1706
15	27	1694
16	28	1672
17	30	1688
18	32	1678
19	34	1677
20	36	1686
21	37	1674
22	39	1667
23	40	1658
24	42	1644
25	43	1643
26	45	1639
27	46	1628
28	48	1628
29	50	1627
30	51	1616
31	53	1607
32	54	1601
33	56	1593
34	57	1593
35	59	1592
36	60	1584
37	62	1584
38	64	1577
39	65	1574
40	67	1568
41	68	1564
42	70	1560
43	71	1558
44	73	1554
45	74	1546
46	76	1541
47	77	1536
48	78	1531
49	80	1525
50	81	1520
51	83	1514
52	84	1508
53	85	1505
54	87	1501
55	88	1495
56	90	1490
57	91	1487
58	93	1483
59	94	1479
60	95	1475
61	97	1479
62	99	1479
63	100	1476
64	102	1472
65	103	1469
66	105	1464
67	106	1460
68	108	1457
69	109	1453
70	110	1449
71	112	1449
72	113	1447
73	115	1443
74	116	1440
75	118	1437
76	119	1433
77	120	1429
78	122	1427
79	123	1423
80	125	1419
81	126	1416
82	128	1415
83	129	1412
84	130	1409
85	132	1407
86	133	1405
87	135	1401
88	136	1399
89	138	1396
90	139	1393
91	141	1394
92	142	1391
93	144	1389
94	145	1387
95	147	1384
96	148	1382
97	149	1379
98	151	1377
99	152	1375
100	154	1372
101	155	1371
102	157	1368
103	158	1366
104	160	1363
105	161	1365
106	163	1365
107	165	1365
108	166	1364
109	168	1364
110	170	1362
111	171	1360
112	173	1358
113	174	1357
114	176	1357
115	178	1358
116	180	1360
117	182	1363
118	183	1361
119	185	1358
120	186	1356
121	188	1353
122	189	1351
123	190	1348
124	192	1347
125	193	1344
126	195	1343
127	197	1345
128	199	1343
129	200	1341
130	201	1338
131	203	1336
132	204	1334
133	206	1331
134	207	1329
135	208	1327
136	210	1326
137	212	1325
138	213	1322
139	215	1320
140	216	1319
141	217	1316
142	219	1314
143	220	1311
144	222	1312
145	224	1310
146	225	1308
147	226	1306
148	228	1303
149	229	1301
150	231	1298
151	232	1296
152	233	1294
153	235	1292
154	237	1293
155	238	1291
156	240	1289
157	241	1287
158	243	1286
159	244	1284
160	246	1282
161	247	1280
162	248	1278
163	250	1276
164	251	1274
165	253	1271
166	254	1269
167	255	1267
168	257	1265
169	264	1290
170	265	1286
171	266	1284
172	268	1281
173	269	1279
174	271	1277
175	272	1275
176	273	1272
177	275	1270
178	276	1268
179	278	1266
180	279	1265
181	281	1263
182	282	1261
183	283	1258
184	285	1255
185	286	1253
186	287	1251
187	289	1248
188	290	1246
189	291	1243
190	293	1242
191	294	1240
192	296	1238
193	297	1236
194	299	1234
195	300	1232
196	301	1230
197	303	1229
198	305	1227
199	306	1225
200	307	1223
201	309	1221
202	310	1219
203	311	1217
204	313	1215
205	314	1212
206	316	1211
207	317	1208
208	318	1206
209	320	1204
210	321	1202
211	323	1201
212	324	1199
213	325	1197
214	327	1194
215	328	1194
216	330	1194
217	332	1192
218	334	1191
219	335	1190
220	337	1188
221	338	1187
222	340	1185
223	341	1184
